14/02/2016 01:19:39 - New match 6515015 has started
14/02/2016 01:19:41 - Kerbin killed Brumm using AK47
14/02/2016 01:19:42 - Maind killed Kerbin using Izi9mm
14/02/2016 01:19:45 - Roman killed Kerbin using Knife
14/02/2016 01:19:49 - Dota killed Nick using Knife
14/02/2016 01:19:50 - Brumm killed Kerbin using Izi9mm
14/02/2016 01:19:51 - Kerbin killed Long using Barrete
14/02/2016 01:19:52 - Nick killed Brumm using Knife
14/02/2016 01:19:56 - Octor killed Nick using Izi9mm
14/02/2016 01:19:58 - Tube killed Kerbin using Barrete
14/02/2016 01:20:01 - Tube killed Kerbin using Pistol
14/02/2016 01:20:01 - <WORLD> killed Kerbin by Lock
14/02/2016 01:20:07 - Long killed Nick using Barrete
14/02/2016 01:20:10 - Kerbin killed Brumm using Knife
14/02/2016 01:20:12 - Brumm killed Kerbin using Izi9mm
14/02/2016 01:20:16 - Tube killed Lock using Knife
14/02/2016 01:20:18 - Maind killed Dota using Shotgun
14/02/2016 01:20:20 - Brumm killed Nick using Izi9mm
14/02/2016 01:20:21 - Roman killed Octor using Knife
14/02/2016 01:20:24 - Long killed Lock using Barrete
14/02/2016 01:20:25 - Maind killed Nick using Knife
14/02/2016 01:20:30 - Maind killed Kerbin using M16
14/02/2016 01:20:33 - Dota killed Octor using Shotgun
14/02/2016 01:20:38 - Roman killed Maind using Knife
14/02/2016 01:20:41 - Octor killed Nick using Pistol
14/02/2016 01:20:41 - Octor killed Lock using Barrete
14/02/2016 01:20:43 - Nick killed Long using AK47
14/02/2016 01:20:43 - <WORLD> killed Long by Kerbin
14/02/2016 01:20:49 - Roman killed Long using Izi9mm
14/02/2016 01:20:49 - Roman killed Brumm using M16
14/02/2016 01:20:49 - <WORLD> killed Kerbin by Nick
14/02/2016 01:20:55 - Octor killed Tube using M16
14/02/2016 01:21:00 - Nick killed Dota using Izi9mm
14/02/2016 01:21:02 - Roman killed Nick using P90
14/02/2016 01:21:04 - Brumm killed Maind using AK47
14/02/2016 01:21:07 - Kerbin killed Brumm using Izi9mm
14/02/2016 01:21:11 - Lock killed Brumm using P90
14/02/2016 01:21:13 - Brumm killed Kerbin using M16
14/02/2016 01:21:17 - Lock killed Nick using M16
14/02/2016 01:21:18 - Kerbin killed Long using M16
14/02/2016 01:21:21 - Long killed Nick using Izi9mm
14/02/2016 01:21:25 - Kerbin killed Lock using AK47
14/02/2016 01:21:30 - Roman killed Long using AK47
